RTM_Spread_Avg,HourInt,DeliveryDate,HourEnding_node,BusName_node,LMP_node,DSTFlag_node,HourEnding_hub,BusName_hub,LMP_hub,DSTFlag_hub,DAM_Spread,Alpha_PnL,Net_PnL,Node,DAM_Bus,DAM_Hub,Date
-15.990000000000002,3,2026-01-25,03:00,BRAZ_WND_ALL,441.65,False,03:00,NORTH,470.22,False,28.57000000000005,-44.56000000000005,-45.56000000000005,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-26.20916666666666,4,2026-01-25,04:00,BRAZ_WND_ALL,487.49,False,04:00,NORTH,517.56,False,30.069999999999936,-56.2791666666666,-57.2791666666666,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-18.709999999999997,5,2026-01-25,05:00,BRAZ_WND_ALL,484.85,False,05:00,NORTH,512.92,False,28.069999999999936,-46.77999999999993,-47.77999999999993,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-6.795000000000006,6,2026-01-25,06:00,BRAZ_WND_ALL,627.14,False,06:00,NORTH,659.37,False,32.23000000000002,-39.02500000000003,-40.02500000000003,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-5.228461538461539,7,2026-01-25,07:00,BRAZ_WND_ALL,397.06,False,07:00,NORTH,424.67,False,27.610000000000014,-32.83846153846155,-33.83846153846155,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-8.029999999999996,8,2026-01-25,08:00,BRAZ_WND_ALL,448.91,False,08:00,NORTH,479.78,False,30.869999999999948,-38.89999999999994,-39.89999999999994,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-5.452499999999997,9,2026-01-25,09:00,BRAZ_WND_ALL,491.84,False,09:00,NORTH,514.83,False,22.990000000000066,-28.442500000000063,-29.442500000000063,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-3.2535714285714255,10,2026-01-25,10:00,BRAZ_WND_ALL,535.82,False,10:00,NORTH,556.21,False,20.389999999999986,-23.643571428571413,-24.643571428571413,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-3.878823529411768,11,2026-01-25,11:00,BRAZ_WND_ALL,780.79,False,11:00,NORTH,796.68,False,15.889999999999986,-19.768823529411755,-20.768823529411755,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
-0.26749999999999946,12,2026-01-25,12:00,BRAZ_WND_ALL,536.96,False,12:00,NORTH,542.58,False,5.6200000000000045,-5.887500000000004,-6.887500000000004,BRAZ_WND_ALL,BRAZ_WND_ALL,NORTH,2026-01-25
